Nom complet,Adresse,Email,Téléphone,Nationalité,Métier,Années d’expérience,Formation,Institution,Compétences,Certificats,Langues parlées,Hobbies,Expériences,Références,Langue du CV,Format,Template
Shukri Mariam Djamal Barkat,"Cité Arhiba, Djibouti",shukri.djamalbarkat@example.com,25377989704,Djibouti,Opticien,16,Diplôme professionnel,École Nationale de Commerce,"Service client, Évaluation visuelle, Fabrication de lunettes, Conseil client, Précision","Coursera Machine Learning (Université de Djibouti), CAPES (Institut de Formation Professionnelle)","Arabe (Débutant), Français (Intermédiaire)","Voyage, Musique, Photographie","['Opticien chez Aéroport International de Djibouti (2024-2025): Évaluation visuelle, Précision', 'Opticien chez Rousseau De Sousa SA (2022-2024): Conseil client, Évaluation visuelle, Fabrication de lunettes, Service client, Précision', 'Opticien Junior chez Ministère de l’Éducation (2018-2022): Évaluation visuelle, Fabrication de lunettes, Précision, Service client', 'Opticien Junior chez Banque de Djibouti (2013-2018): Conseil client, Fabrication de lunettes, Service client', 'Opticien Senior chez Rousseau Chauvin S.A.S. (2010-2013): Conseil client, Précision']","['Guy Costa, Collègue, guy.costa']",Français,pdf,compact
Walid Ismail Hersi Samatar,"Rue de Balbala, Djibouti",walid.hersisamatar@example.com,25377968194,Djibouti,Audioprothésiste,4,Doctorat en {job},Lycée d’État de Djibouti,"Ajustement d'appareils, Conseil client, Communication, Évaluation auditive",TOEFL (Centre de Formation Technique de Balbala),"Arabe (Intermédiaire), Afar (Débutant)","Musique, Lecture, Voyage","[""Audioprothésiste Senior chez Breton (2024-2025): Conseil client, Technologie, Ajustement d'appareils, Communication""]","['Gérard Pruvost, Superviseur, gérard.pruvost']",Français,pdf,modern
Aaden Zamzama Mohamed Farhan,"Avenue Gabode, Djibouti",aaden.mohamedfarhan@example.com,25377855963,Djibouti,Sage-femme,4,Licence en Sage-femme,Lycée d’État de Djibouti,"Suivi prénatal, Accouchement, Premiers secours, Communication","Cisco CCNA (Centre de Formation Technique de Balbala), AWS Certified Solutions Architect (École Nationale de Commerce)","Arabe (Courant), Français (Courant)","Cuisine, Musique, Photographie, Voyage","['Sage-femme Senior chez Djibouti Telecom (2022-2025): Accouchement, Premiers secours, Conseil, Communication', 'Sage-femme Senior chez Port de Djibouti (2021-2022): Accouchement, Suivi prénatal']","['Inès Pons, Superviseur, inès.pons']",Français,pdf,compact
Habiba Yasmin Abokor Wais,"Boulevard de la République, Djibouti",habiba.abokorwais@example.com,25377273662,Djibouti,Aide-soignant,20,Doctorat en {job},Lycée d’État de Djibouti,"Travail d'équipe, Empathie, Hygiène, Soins de base","CAPES (École Nationale de Commerce), TOEFL (École Nationale de Commerce)","Arabe (Débutant), Français (Intermédiaire), Somali (Courant)","Photographie, Lecture, Cuisine, Musique","[""Aide-soignant chez Ministère de l’Éducation (2024-2025): Communication patient, Soins de base, Travail d'équipe, Empathie"", ""Aide-soignant chez Banque de Djibouti (2021-2024): Travail d'équipe, Empathie, Communication patient"", 'Aide-soignant Junior chez Raymond Jacquet S.A. (2017-2021): Communication patient, Empathie, Hygiène', ""Aide-soignant Senior chez Michel (2015-2017): Travail d'équipe, Communication patient, Soins de base, Empathie, Hygiène"", ""Aide-soignant Junior chez Olivier et Fils (2013-2015): Travail d'équipe, Hygiène, Communication patient, Empathie, Soins de base""]","['Bradley Hopkins, Manager, bradley.hopkins', 'Guy-Henri Brunel, Collègue, guy-henri.brunel']",Français,pdf,classic
Rahma Bashira Faysal Barre,"Rue de Balbala, Djibouti",rahma.faysalbarre@example.com,25377916692,Djibouti,Ambulancier,14,Diplôme professionnel,Institut de Formation Professionnelle,"Gestion du stress, Communication, Premiers secours, Conduite sécuritaire","CompTIA Security+ (Université de Djibouti), Microsoft Certified: Azure Fundamentals (Université de Djibouti), Scrum Master (Centre de Formation Technique de Balbala)",Arabe (Débutant),"Photographie, Voyage","['Ambulancier Senior chez Rodrigues Evrard S.A.S. (2024-2025): Gestion du stress, Transport médical, Communication, Premiers secours, Conduite sécuritaire', 'Ambulancier Junior chez Banque de Djibouti (2021-2024): Gestion du stress, Communication, Conduite sécuritaire, Transport médical', 'Ambulancier Junior chez Rémy S.A.S. (2019-2021): Gestion du stress, Conduite sécuritaire, Premiers secours, Transport médical, Communication', 'Ambulancier chez Raymond SA (2015-2019): Conduite sécuritaire, Gestion du stress']","['Alfred Charles, Superviseur, alfred.charles', 'Jessica Love, Superviseur, jessica.love']",Français,pdf,modern
Hassanali Salma Salah Djamal,"Rue de Balbala, Djibouti",hassanali.salahdjamal@example.com,25377121472,Djibouti,Laborantin,17,Baccalauréat,Institut de Formation Professionnelle,"Analyse, Rapport, Prélèvements, Sécurité en laboratoire","CAPES (Centre de Formation Technique de Balbala), Microsoft Certified: Azure Fundamentals (Lycée d’État de Djibouti), Coursera Machine Learning (École Nationale de Commerce)","Arabe (Courant), Français (Débutant), Somali (Débutant), Afar (Courant)","Cuisine, Voyage, Photographie, Lecture","['Laborantin chez Aéroport International de Djibouti (2024-2025): Sécurité en laboratoire, Analyse, Prélèvements, Rapport', 'Laborantin Junior chez Électricité de Djibouti (2023-2024): Sécurité en laboratoire, Prélèvements, Précision, Analyse', 'Laborantin Junior chez Lévy (2020-2023): Analyse, Prélèvements, Rapport', 'Laborantin Junior chez Aéroport International de Djibouti (2015-2020): Prélèvements, Analyse, Sécurité en laboratoire, Précision']","['Élise Hoarau-Bonnet, Superviseur, élise.hoarau-bonnet']",Français,pdf,compact
Asli Haroun Suleyman Barre,"Avenue Gabode, Djibouti",asli.suleymanbarre@example.com,25377137431,Djibouti,Chercheur,17,Master en Chercheur,Lycée d’État de Djibouti,"Analyse de données, Recherche, Rédaction scientifique, Collaboration","First Aid Certification (Lycée d’État de Djibouti), AWS Certified Solutions Architect (Institut de Formation Professionnelle), TOEFL (Lycée d’État de Djibouti)","Arabe (Intermédiaire), Français (Intermédiaire)","Cuisine, Voyage, Lecture, Musique","['Chercheur chez Hôpital Général Peltier (2021-2025): Recherche, Rédaction scientifique', 'Chercheur Junior chez Hôpital Général Peltier (2018-2021): Expérimentation, Collaboration, Rédaction scientifique', 'Chercheur Junior chez Banque de Djibouti (2016-2018): Analyse de données, Recherche, Rédaction scientifique', 'Chercheur Junior chez Aéroport International de Djibouti (2011-2016): Collaboration, Recherche']","['Yves Evrard, Superviseur, yves.evrard', 'Aaron Santiago, Collègue, aaron.santiago']",Français,pdf,compact
Haniyo Deria Samatar Mahdi,"Cité Arhiba, Djibouti",haniyo.samatarmahdi@example.com,25377883257,Djibouti,Professeur d'université,16,Licence en Professeur d'université,Institut de Formation Professionnelle,"Conception de cours, Enseignement, Recherche, Mentorat, Publication",IELTS (Centre de Formation Technique de Balbala),"Arabe (Débutant), Afar (Intermédiaire), Anglais (Intermédiaire)","Football, Voyage","[""Professeur d'université chez Banque de Djibouti (2021-2025): Recherche, Enseignement"", ""Professeur d'université Junior chez Humbert (2019-2021): Enseignement, Conception de cours"", ""Professeur d'université Senior chez Pons (2018-2019): Mentorat, Recherche, Enseignement, Conception de cours, Publication"", ""Professeur d'université chez Guillou (2014-2018): Conception de cours, Mentorat, Enseignement, Publication, Recherche"", ""Professeur d'université Junior chez Ministère de l’Éducation (2010-2014): Conception de cours, Enseignement, Mentorat, Publication, Recherche""]","['Courtney Mitchell, Superviseur, courtney.mitchell', 'Karen Johnson, Manager, karen.johnson']",Français,pdf,modern
Amina Jamal Mahad Saïd,"Rue de Balbala, Djibouti",amina.mahadsaïd@example.com,25377813371,Djibouti,Assistant de recherche,14,Master en Assistant de recherche,École Nationale de Commerce,"Collaboration, Analyse, Organisation, Rédaction","CAPES (Université de Djibouti), TOEFL (École Nationale de Commerce)","Arabe (Intermédiaire), Français (Débutant), Somali (Intermédiaire)","Cuisine, Musique","['Assistant de recherche chez Aéroport International de Djibouti (2023-2025): Organisation, Collecte de données, Analyse, Collaboration', 'Assistant de recherche chez Brunel (2021-2023): Rédaction, Collaboration, Collecte de données, Analyse, Organisation', 'Assistant de recherche Junior chez François (2016-2021): Collecte de données, Analyse', 'Assistant de recherche Junior chez Delannoy (2013-2016): Organisation, Analyse', 'Assistant de recherche Senior chez Leclerc Guibert S.A. (2012-2013): Organisation, Analyse']","['Édouard Gilles, Superviseur, édouard.gilles']",Français,pdf,modern
Aweis Sharmarke Walid Nour,"Cité Arhiba, Djibouti",aweis.walidnour@example.com,25377794832,Djibouti,Économiste,10,Licence en Économiste,Lycée d’État de Djibouti,"Connaissance des marchés, Modélisation, Rapport, Analyse économique",Coursera Machine Learning (Lycée d’État de Djibouti),"Arabe (Courant), Somali (Intermédiaire), Afar (Intermédiaire)","Photographie, Musique, Voyage","['Économiste Junior chez Électricité de Djibouti (2021-2025): Rapport, Connaissance des marchés, Analyse économique, Prévision, Modélisation', 'Économiste Junior chez Lévêque Daniel et Fils (2018-2021): Modélisation, Prévision', 'Économiste chez Monnier (2016-2018): Connaissance des marchés, Analyse économique', 'Économiste chez Port de Djibouti (2015-2016): Analyse économique, Modélisation, Prévision, Rapport']","['Alexandria Boucher-Gillet, Collègue, alexandria.boucher-gillet']",Français,pdf,classic
Hugo Alemu,"62, rue Peltier
55659 Pereira-sur-Leleu",hugo.alemu@example.com,25377465884,French,Sociologue,7,Master en Sociologue,Université de Djibouti,"Observation, Analyse qualitative, Analyse quantitative, Rédaction, Recherche","CFA Level 1 (Institut de Formation Professionnelle), Scrum Master (Université de Djibouti), CAPES (Université de Djibouti)",Anglais (Débutant),"Musique, Voyage, Football","['Sociologue Junior chez Ministère de l’Éducation (2023-2025): Analyse qualitative, Analyse quantitative', 'Sociologue chez Guichard Rodriguez et Fils (2019-2023): Analyse quantitative, Observation, Recherche', 'Sociologue Senior chez Weiss S.A.S. (2018-2019): Observation, Analyse quantitative, Rédaction']","['Ashley Ramsey, Manager, ashley.ramsey', 'Gabriel Boulanger, Manager, gabriel.boulanger']",Anglais,pdf,classic
Idriss Faisa Saïd Abshir,"Avenue Gabode, Djibouti",idriss.saïdabshir@example.com,25377504129,Djibouti,Anthropologue,10,Master en Anthropologue,Université de Djibouti,"Observation, Analyse, Terrain, Recherche culturelle",Google Data Analytics (Université de Djibouti),"Arabe (Courant), Français (Courant)","Cuisine, Musique, Football","['Anthropologue Junior chez Maillot Alves SA (2023-2025): Terrain, Recherche culturelle, Observation', 'Anthropologue chez Électricité de Djibouti (2018-2023): Analyse, Terrain']","['Richard Ribeiro, Collègue, richard.ribeiro']",Français,pdf,classic
Anwar Kamil Walid Nour,"Quartier Ambouli, Djibouti",anwar.walidnour@example.com,25377354843,Djibouti,Historien,16,Baccalauréat,Université de Djibouti,"Analyse de sources, Archivage, Recherche historique, Enseignement","Google Data Analytics (Centre de Formation Technique de Balbala), PMP (Université de Djibouti)","Arabe (Intermédiaire), Français (Courant), Somali (Débutant)","Voyage, Musique","['Historien Senior chez Djibouti Telecom (2022-2025): Rédaction, Recherche historique, Archivage, Enseignement, Analyse de sources', 'Historien chez Lelièvre Maillet S.A.S. (2018-2022): Rédaction, Analyse de sources, Recherche historique, Enseignement', 'Historien Junior chez Fischer S.A. (2013-2018): Analyse de sources, Enseignement, Rédaction, Recherche historique', 'Historien Junior chez Hôpital Général Peltier (2011-2013): Enseignement, Recherche historique, Archivage', 'Historien chez Banque de Djibouti (2010-2011): Recherche historique, Enseignement', 'Historien Junior chez Aéroport International de Djibouti (2009-2010): Recherche historique, Enseignement, Analyse de sources, Rédaction']","['Diane de Lévy, Superviseur, diane.de.lévy']",Français,pdf,modern
Youssouf Rachid Mahad Saïd,"Avenue Gabode, Djibouti",youssouf.mahadsaïd@example.com,25377336912,Djibouti,Géographe,4,BTS en Géographe,École Nationale de Commerce,"Recherche, Rédaction, Cartographie, Analyse spatiale",TOEFL (Centre de Formation Technique de Balbala),"Arabe (Débutant), Français (Intermédiaire)","Musique, Voyage, Football","['Géographe Senior chez Charpentier et Fils (2022-2025): SIG, Analyse spatiale', 'Géographe Junior chez Ministère de l’Éducation (2021-2022): Cartographie, SIG, Analyse spatiale, Rédaction, Recherche']","['Pierre Raymond-Germain, Collègue, pierre.raymond-germain', 'Thierry De Oliveira, Collègue, thierry.de.oliveira']",Français,pdf,classic
Hibo Yasmin Youssouf Madar,"Rue de Balbala, Djibouti",hibo.youssoufmadar@example.com,25377270886,Djibouti,Politicien,7,Doctorat en {job},Institut de Formation Professionnelle,"Prise de décision, Communication, Connaissance des lois, Stratégie","AWS Certified Solutions Architect (Lycée d’État de Djibouti), CAPES (École Nationale de Commerce), Microsoft Certified: Azure Fundamentals (Institut de Formation Professionnelle)","Arabe (Courant), Français (Intermédiaire)","Lecture, Cuisine","['Politicien chez Port de Djibouti (2022-2025): Communication, Connaissance des lois, Stratégie, Prise de décision, Négociation', 'Politicien Senior chez Djibouti Telecom (2019-2022): Prise de décision, Connaissance des lois, Communication, Stratégie']","['Émilie-Inès Diallo, Manager, émilie-inès.diallo']",Français,pdf,compact
Wais Bilal Mahad Saïd,"Rue de Balbala, Djibouti",wais.mahadsaïd@example.com,25377369723,Djibouti,Diplomate,17,Diplôme professionnel,Lycée d’État de Djibouti,"Communication, Protocole, Connaissance internationale, Négociation, Multilinguisme",Coursera Machine Learning (Centre de Formation Technique de Balbala),"Français (Intermédiaire), Somali (Débutant)","Photographie, Voyage, Lecture","['Diplomate Junior chez Leclerc S.A.S. (2021-2025): Négociation, Multilinguisme', 'Diplomate chez Carre (2017-2021): Multilinguisme, Protocole, Négociation', 'Diplomate Senior chez Baudry (2015-2017): Communication, Connaissance internationale, Négociation, Protocole, Multilinguisme', 'Diplomate Senior chez Port de Djibouti (2011-2015): Communication, Multilinguisme, Protocole, Connaissance internationale', 'Diplomate Senior chez Guillon (2009-2011): Multilinguisme, Communication, Connaissance internationale']","['Marcel Lebon, Superviseur, marcel.lebon']",Français,pdf,compact
Samia Jamal Hassan Dini,"Cité Arhiba, Djibouti",samia.hassandini@example.com,25377668812,Djibouti,Agent des douanes,18,Master en Agent des douanes,Université de Djibouti,"Communication, Réglementation, Vigilance, Rapport","IELTS (Lycée d’État de Djibouti), First Aid Certification (École Nationale de Commerce)","Arabe (Intermédiaire), Français (Débutant)","Photographie, Football, Lecture","['Agent des douanes chez Électricité de Djibouti (2023-2025): Communication, Contrôle, Réglementation, Rapport, Vigilance', 'Agent des douanes chez Hôpital Général Peltier (2019-2023): Vigilance, Contrôle', 'Agent des douanes Junior chez Djibouti Telecom (2014-2019): Vigilance, Communication', 'Agent des douanes chez Aéroport International de Djibouti (2011-2014): Réglementation, Rapport, Communication', 'Agent des douanes Senior chez Électricité de Djibouti (2007-2011): Rapport, Contrôle, Vigilance']","['Karen Kramer, Manager, karen.kramer', 'Nathalie Boulay, Superviseur, nathalie.boulay']",Français,pdf,compact
